region,country,iso3,name,population,income,palma,age_dependency,homeless_aad,homeless_pmd_10,homeless_pmd_25,homeless_pmd_50,homeless_pmd_100,homeless_pmd_200,homeless_pmd_250,homeless_pmd_500,homeless_pmd_1000,sheltered_aad,sheltered_pmd_10,sheltered_pmd_25,sheltered_pmd_50,sheltered_pmd_100,sheltered_pmd_200,sheltered_pmd_250,sheltered_pmd_500,sheltered_pmd_1000,snapshot_6mo_aad,snapshot_6mo_pmd_10,snapshot_6mo_pmd_25,snapshot_6mo_pmd_50,snapshot_6mo_pmd_100,snapshot_6mo_pmd_200,snapshot_6mo_pmd_250,snapshot_6mo_pmd_500,snapshot_6mo_pmd_1000
Africa,Algeria,DZA,Al-Aghouat,633484.0,0.753,0.037681608,0.585067834,17.334245,0.2020169049501419,0.2020169049501419,0.2020169049501419,0.2020169049501419,38.37995529174805,122.06787872314452,880.57421875,3126.66650390625,17.02752443314123,0.0,0.0,0.0,0.0,0.0,8.083562394183701,1056.7098898639065,4131.2259067805935,3.229458158863088,0.0,0.0,0.0,0.0,0.0,2.6450698797699865,52.50984820726109,375.7255020914011
Africa,Algeria,DZA,Al-Bayadh,317668.0,0.753,0.037681608,0.585067834,15.03728,0.2030490338802337,0.2030490338802337,0.2030490338802337,18.716196060180664,263.867431640625,448.4447937011719,1390.1373291015625,3204.034423828125,17.45654447408514,0.0,0.0,0.0,0.0,48.49393684598201,391.2154204269923,1773.169014134928,4428.303963986586,2.9995773855370547,0.0,0.0,0.0,0.0,8.294081694411416,19.61442058418377,105.278803823302,386.2331398211251
Africa,Algeria,DZA,Al-Blida,1391870.0,0.753,0.037681608,0.585067834,2306.22528,53.6572151184082,5188.91015625,22613.173828125,57433.12890625,113909.765625,134106.546875,217580.015625,319806.53125,1781.025866692435,0.0,4759.308099376201,17385.950598805415,43340.06270038316,84554.96945080932,101483.88134848374,168246.977747032,244095.7372112336,1073.45750737325,0.0,549.4382982692412,4139.460070453195,16091.858221677225,45224.13814391594,58558.50741181684,119834.77176497756,213863.57204227333
Africa,Algeria,DZA,Al-Chlef,1391490.0,0.753,0.037681608,0.585067834,1689.63168,20.461397171020508,3298.5166015625,15067.8427734375,42248.45703125,90688.34375,110780.125,178713.703125,239566.75,1427.533396225667,0.0,3225.502793982083,12685.961153940436,32418.464057465848,65541.06856845111,81279.1848665378,139972.1583033264,219416.91173889185,777.5852382297932,0.0,289.6309209405536,2501.407958936977,10543.328753506185,30445.300163565116,43255.60829004467,84631.90061717364,175368.04581774308
Africa,Algeria,DZA,Al-M'Ghair,204193.0,0.753,0.037681608,0.585067834,10.21426,0.2010656297206878,0.2010656297206878,0.2010656297206878,0.2010656297206878,35.405609130859375,98.80438995361328,928.0111083984376,2665.015380859375,12.861981244585053,0.0,0.0,0.0,0.0,0.0,3.710336340209115,1077.2339375988347,3156.0411545898683,1.8973784149955533,0.0,0.0,0.0,0.0,0.0,0.9619950576994531,53.650081018728514,252.7915515333636
Africa,Algeria,DZA,Al-M'sila,1380320.0,0.753,0.037681608,0.585067834,382.48216,21.993953704833984,1207.71728515625,4475.8271484375,10258.162109375,18166.615234375,21841.3046875,32305.125,46056.6328125,413.0857437679642,0.0,1340.284726718738,4610.936481794744,10291.597174400562,19663.883093179174,23002.66147848039,35716.33953220113,54045.08091433123,92.44273535524334,0.0,73.90612518722703,474.1352609673404,1578.6083429219818,3982.515326095568,5026.343550437952,9180.806267114463,16516.295424279844
Africa,Algeria,DZA,Al-Médéa,1141040.0,0.753,0.037681608,0.585067834,1049.44176,137.6999969482422,3126.265625,10572.8310546875,24252.56640625,46193.44921875,56411.13671875,94387.078125,151806.4375,983.7407090153376,9.477980315159945,3255.1654381202056,9740.079236097685,22100.600824083514,42583.56464455191,52671.99881432024,88852.77771711527,127567.25667795276,397.7641551647233,2.9339197851161143,275.8453625161592,1504.013971297515,5337.183088860552,14357.518114038452,18286.39914686915,42357.14282283721,75920.45137497094
Africa,Algeria,DZA,Al-Tarf,569636.0,0.753,0.037681608,0.585067834,235.8758,0.2010840773582458,288.11151123046875,2204.5615234375,6191.78173828125,12363.7587890625,14694.349609375,24651.841796875,35174.609375,252.09678396666143,0.0,68.79320079313881,2230.684499775272,6402.110183658255,13205.9788584893,15398.823612915732,26253.504497793954,38469.30283427108,52.43985298072056,0.0,9.9186202321076,160.69680792279414,796.7568756182397,2086.7021654136825,2642.7648395108517,5792.817302151931,10514.98351165108
Africa,Algeria,DZA,Algiers,4149260.0,0.753,0.037681608,0.585067834,6930.78528,121.9753646850586,15273.86328125,69096.4765625,170271.03125,333524.0625,391962.9375,678744.6875,988747.875,4601.830351662432,7.14329546011326,11218.21223370189,44175.5558001529,105138.16180015611,203312.6165153964,242455.43439530375,409834.1414401928,691008.8798258541,5113.918598718541,2.240634885458131,2190.5013435777223,19128.090023194716,66973.55356897722,184304.3215663173,233074.0993199685,532900.0523515586,1030297.5246473452
Africa,Algeria,DZA,Annaba,848585.0,0.753,0.037681608,0.585067834,512.68384,0.2000954300165176,407.9879455566406,3692.189208984375,11809.345703125,25881.85546875,31830.2109375,54897.9765625,91972.640625,457.7611433857696,0.0,311.8670721956307,3413.0692997565384,10279.299889315873,22483.77885843313,27882.12586784483,49551.39716592736,75874.28012473983,158.7786629191528,0.0,16.456497275826806,323.9449187163783,1615.8994459085,5276.321248449851,7259.325185261742,17347.784134286794,33774.441946863066
