Permutation,eval_r2,eval_mape,eval_mdape,eval_consensus
"('DESTROYED', 'I(INCOME>0.7)', 'PALMA', 'I(AGE_DEPENDENCY>0.67)', 'I(TENURE_SECURITY>0.81)')",0.7591800178464938,0.14474570567050649,0.1111127126538426,0.16555946682595177
"('DESTROYED', 'I(DESTROYED>4.5)', 'I(PALMA>0.06)', 'DESTROYED×INCOME')",0.7729920381787482,0.15619851008011523,0.11358932614138166,0.1655985993475829
"('DESTROYED', 'I(PALMA>0.06)', 'I(AGE_DEPENDENCY>0.67)')",0.7554501297906213,0.1392470636181583,0.11349277694293568,0.1657632369234909
"('DESTROYED', 'I(DESTROYED>4.5)', 'PALMA', 'AGE_DEPENDENCY', 'I(AGE_DEPENDENCY>0.67)')",0.782195838748507,0.15834433964897915,0.12129240958131533,0.1658136368272625
"('DESTROYED', 'INCOME', 'PALMA', 'AGE_DEPENDENCY')",0.7548194468208329,0.14521737903805804,0.10726591426018502,0.16588794882580338
"('DESTROYED', 'PALMA', 'I(AGE_DEPENDENCY>0.67)')",0.7569093238408262,0.14040200702462383,0.11457296203105603,0.16602188173828455
"('DESTROYED', 'I(DESTROYED>4.5)', 'PALMA')",0.7769474669194922,0.1600207082887034,0.1156243622846065,0.16623253455127254
"('DESTROYED', 'I(PALMA>0.06)', 'AGE_DEPENDENCY')",0.7524474055325977,0.14083173735141433,0.1104064794852532,0.16626360376802327
"('DESTROYED', 'I(DESTROYED>4.5)', 'INCOME', 'I(PALMA>0.06)', 'AGE_DEPENDENCY')",0.7740598692251331,0.15635179745222005,0.11672810173573725,0.16634000998760803
"('DESTROYED', 'I(DESTROYED>4.5)', 'PALMA', 'I(AGE_DEPENDENCY>0.67)', 'DESTROYED×INCOME')",0.7808571224895378,0.15821354081255762,0.12176709961696174,0.16637450597999387
"('DESTROYED', 'INCOME', 'I(INCOME>0.7)', 'I(AGE_DEPENDENCY>0.67)', 'TENURE_SECURITY')",0.762818730047792,0.14555333882588148,0.11639212774762,0.16637557884190315
"('DESTROYED', 'PALMA', 'AGE_DEPENDENCY')",0.7538108284622197,0.14237713026887708,0.1105741911812345,0.16638016432929728
"('DESTROYED', 'I(DESTROYED>4.5)', 'I(AGE_DEPENDENCY>0.67)', 'TENURE_SECURITY')",0.7815450550168623,0.15375415267420267,0.12706569639090554,0.1664249313494153
