Permutation,eval_r2,eval_mape,eval_mdape,eval_consensus
"('DESTROYED', 'I(DESTROYED>5.5)', 'I(PALMA>0.044)', 'I(PALMA>0.07)')",0.6956078949838119,0.163661585491543,0.10523553480742762,0.19109640843838624
"('DESTROYED', 'I(DESTROYED>5.5)', 'I(DESTROYED>8.9)', 'PALMA')",0.6970011109942094,0.18533502655476713,0.09575531937679821,0.19469641164578533
"('DESTROYED', 'I(DESTROYED>8.9)', 'PALMA')",0.7287959995522806,0.1970577992730566,0.11644219473337986,0.19490133148471864
"('DESTROYED', 'I(DESTROYED>5.5)', 'PALMA', 'I(PALMA>0.044)', 'I(PALMA>0.07)')",0.6981312773310435,0.15737549545102206,0.13398686266062818,0.19774369359353558
"('DESTROYED', 'I(DESTROYED>5.5)', 'I(DESTROYED>8.9)', 'I(PALMA>0.044)', 'DESTROYED×PALMA')",0.6772585488368383,0.18241571316793548,0.0891858039134372,0.1981143227481781
"('DESTROYED', 'I(DESTROYED>5.5)', 'I(DESTROYED>8.9)', 'I(PALMA>0.07)')",0.6959269971197252,0.18427700755493598,0.11055206595182687,0.19963402546234588
"('DESTROYED', 'I(DESTROYED>5.5)', 'I(PALMA>0.044)', 'I(PALMA>0.07)', 'DESTROYED×PALMA')",0.6846777260073558,0.17017800241198783,0.11377998435752931,0.19976008692072045
"('DESTROYED', 'I(DESTROYED>8.9)', 'I(PALMA>0.07)', 'DESTROYED×PALMA')",0.727518165285348,0.20896082299982616,0.12187801909822092,0.2011068922708997
"('DESTROYED', 'I(DESTROYED>8.9)', 'PALMA', 'I(PALMA>0.044)')",0.6976961789914253,0.2006947695688357,0.11017609286602703,0.20439156114781246
"('DESTROYED', 'I(DESTROYED>8.9)', 'I(PALMA>0.044)', 'DESTROYED×PALMA')",0.7032873030073445,0.1997029666996646,0.12014054104675337,0.2055187349130245
"('DESTROYED', 'I(DESTROYED>5.5)', 'I(DESTROYED>8.9)', 'PALMA', 'I(PALMA>0.044)')",0.6620005223110186,0.18924764660435406,0.09054353334025395,0.20593021921119647
"('DESTROYED', 'I(DESTROYED>5.5)', 'I(DESTROYED>8.9)', 'I(PALMA>0.044)', 'I(PALMA>0.07)')",0.6690113921031455,0.18870977998117766,0.10722584910187932,0.2089747456599705
"('DESTROYED', 'I(DESTROYED>8.9)', 'I(PALMA>0.044)', 'I(PALMA>0.07)', 'DESTROYED×PALMA')",0.6947581844164359,0.21801515111738712,0.12579810736901545,0.21635169135665555
"('DESTROYED', 'I(DESTROYED>8.9)', 'PALMA', 'I(PALMA>0.07)')",0.6867393015738792,0.21922308050981218,0.1241475851651033,0.2188771213670121
"('DESTROYED', 'I(DESTROYED>5.5)', 'I(DESTROYED>8.9)', 'I(PALMA>0.07)', 'DESTROYED×PALMA')",0.6528243092073739,0.19982634845868336,0.1098973635140604,0.21896646758845661
"('DESTROYED', 'I(DESTROYED>5.5)', 'I(DESTROYED>8.9)', 'PALMA', 'I(PALMA>0.07)')",0.6412576188753529,0.20165315500794756,0.10704065080021999,0.22247872897760487
"('DESTROYED', 'I(DESTROYED>8.9)', 'PALMA', 'I(PALMA>0.044)', 'I(PALMA>0.07)')",0.6512018979946173,0.22404896850546702,0.11012941334537332,0.22765882795207437
