Permutation,eval_r2,eval_mape,eval_mdape,eval_consensus
"('DESTROYED', 'PALMA', 'DESTROYED×PALMA')",0.8408447328281172,0.11185093727606167,0.10200968783036,0.12433863075943481
"('DESTROYED', 'PALMA', 'I(PALMA>0.07)', 'DESTROYED×PALMA')",0.8387059145821506,0.11737315425670046,0.0971822583786331,0.12528316601772765
"('DESTROYED',)",0.8142358488992438,0.11844279893607915,0.09234625653894588,0.13218440219192706
"('DESTROYED', 'PALMA', 'I(PALMA>0.044)', 'DESTROYED×PALMA')",0.8244671873315292,0.11543311620935949,0.10673214610379574,0.13256602499387535
"('DESTROYED', 'PALMA', 'I(PALMA>0.044)', 'I(PALMA>0.07)', 'DESTROYED×PALMA')",0.8210058969578722,0.12178212936844149,0.10151025827594948,0.13409549689550626
"('DESTROYED', 'I(DESTROYED>6.5)')",0.8110345822909943,0.12729744738439794,0.09244817597847144,0.13623701369062502
"('DESTROYED', 'I(DESTROYED>6.5)', 'PALMA', 'DESTROYED×PALMA')",0.8109646909678798,0.12206680855181522,0.10141893189684537,0.1375070164935936
"('DESTROYED', 'I(PALMA>0.044)')",0.8029878741858606,0.12402640888032186,0.09401613989150223,0.13835155819532116
"('DESTROYED', 'I(DESTROYED>6.5)', 'PALMA', 'I(PALMA>0.07)', 'DESTROYED×PALMA')",0.8054676518677253,0.127739470350912,0.09650520117358008,0.13959233988558892
"('DESTROYED', 'I(DESTROYED>6.5)', 'I(PALMA>0.044)')",0.8040997757489455,0.13020729130256944,0.09349174788631917,0.13986642114664768
"('DESTROYED', 'I(PALMA>0.07)')",0.8121143961600941,0.12709941165547622,0.10866814414749176,0.14121771988095796
"('DESTROYED', 'I(PALMA>0.044)', 'I(PALMA>0.07)')",0.7949495517962091,0.12799940958561262,0.09487600744058157,0.1426419550766617
"('DESTROYED', 'I(DESTROYED>6.5)', 'I(PALMA>0.07)')",0.801486570183997,0.13505156193490556,0.0962944443143571,0.14328647868842187
"('DESTROYED', 'I(DESTROYED>6.5)', 'PALMA', 'I(PALMA>0.044)', 'DESTROYED×PALMA')",0.7956412229505062,0.1249521917074983,0.1021129492159675,0.1438079726576532
"('DESTROYED', 'I(PALMA>0.07)', 'DESTROYED×PALMA')",0.8065022038936156,0.13133817721496227,0.11247932597594858,0.14577176643243175
"('DESTROYED', 'DESTROYED×PALMA')",0.806339557376853,0.12815531156809767,0.11561823225296325,0.14581132881473596
"('DESTROYED', 'PALMA')",0.8096026138514164,0.12954544244790892,0.11888700021256188,0.14627660960301814
"('DESTROYED', 'I(DESTROYED>6.5)', 'DESTROYED×PALMA')",0.8005932885468547,0.13532029476407173,0.10420952682096554,0.14631217767939417
"('DESTROYED', 'PALMA', 'I(PALMA>0.044)')",0.7902135058696185,0.1286548399799331,0.10179670715267003,0.14674601375432822
"('DESTROYED', 'I(DESTROYED>6.5)', 'PALMA')",0.7981110679482923,0.13747269715599025,0.10562603347013208,0.14832922089261
"('DESTROYED', 'I(DESTROYED>6.5)', 'I(PALMA>0.044)', 'I(PALMA>0.07)')",0.7833717167916185,0.13525585961131825,0.09331399386839034,0.14839937889603003
"('DESTROYED', 'I(DESTROYED>6.5)', 'I(PALMA>0.07)', 'DESTROYED×PALMA')",0.796020026666249,0.1398595844155023,0.10278980418299109,0.14887645397741478
"('DESTROYED', 'I(PALMA>0.044)', 'DESTROYED×PALMA')",0.7847454022768864,0.13065599282305443,0.10454168793453905,0.15015075949356904
"('DESTROYED', 'PALMA', 'I(PALMA>0.07)')",0.8041645655046364,0.13424655085367945,0.12116281326850553,0.15041493287251617
"('DESTROYED', 'I(PALMA>0.044)', 'I(PALMA>0.07)', 'DESTROYED×PALMA')",0.7843965238479786,0.13353832573674718,0.10526613420723917,0.15146931203200256
"('DESTROYED', 'PALMA', 'I(PALMA>0.044)', 'I(PALMA>0.07)')",0.7841954261598909,0.1334853205720379,0.10757147112697567,0.15228712184637422
"('DESTROYED', 'I(DESTROYED>6.5)', 'PALMA', 'I(PALMA>0.07)')",0.7923035320243947,0.14211918389757733,0.10763668957456628,0.15248411381591628
"('DESTROYED', 'I(DESTROYED>6.5)', 'PALMA', 'I(PALMA>0.044)')",0.7761029970305815,0.13565328848229494,0.09999847103289783,0.15318292082820376
"('DESTROYED', 'I(DESTROYED>6.5)', 'I(PALMA>0.044)', 'DESTROYED×PALMA')",0.7780829093363447,0.13733027496382377,0.10065782634611518,0.15330173065786476
"('DESTROYED', 'I(DESTROYED>6.5)', 'I(PALMA>0.044)', 'I(PALMA>0.07)', 'DESTROYED×PALMA')",0.7730230760535632,0.1415163342638737,0.10017294292722023,0.15622206704584354
"('DESTROYED', 'I(DESTROYED>6.5)', 'PALMA', 'I(PALMA>0.044)', 'I(PALMA>0.07)')",0.7696527396768132,0.14043802692048538,0.10450699884087689,0.158430762028183
