Permutation,eval_r2,eval_mape,eval_mdape,eval_consensus
"('DESTROYED',)",0.8379875854496,0.122964058109184,0.10448375137979965,0.12982007467979456
"('DESTROYED', 'I(DESTROYED>12.6)')",0.8344360963754498,0.12720619450332576,0.10525887025055378,0.13267632279280991
"('DESTROYED', 'I(DESTROYED>5.5)')",0.8052145082710118,0.12482251948939278,0.10982665612735316,0.1431448891152447
"('DESTROYED', 'I(DESTROYED>6.5)')",0.8005708741683849,0.13746462603455817,0.10627111655782913,0.1477216228080008
"('DESTROYED', 'I(DESTROYED>5.5)', 'I(DESTROYED>12.6)')",0.800709040451061,0.12920770263804643,0.117292229695859,0.14859696396094815
"('DESTROYED', 'I(DESTROYED>5.5)', 'I(DESTROYED>6.5)')",0.7949270219365465,0.13226081935570072,0.11453724224178125,0.15062367988697847
"('DESTROYED', 'I(DESTROYED>6.5)', 'I(DESTROYED>12.6)')",0.7896939999402873,0.1440470039726997,0.11381771581546536,0.15605690661595925
"('DESTROYED', 'I(DESTROYED>5.5)', 'I(DESTROYED>6.5)', 'I(DESTROYED>12.6)')",0.7850082656080326,0.13675880833779183,0.1190249597364561,0.15692516748873844
